GUID;Departament;Dispositiu;Edifici;Planta;Zona;Àrea Total (m²);Elements
"3q_7I27fz7uAWjDRAhC6eY";"";"Porta";"CQA";"P00";"030";"0";"1"
"3q_7I27fz7uAWjDRAhC6wR";"";"Porta";"CQA";"P00";"005";"0";"1"
"3q_7I27fz7uAWjDRAhC6hA";"";"Porta";"CQA";"P00";"034";"0";"1"
"3q_7I27fz7uAWjDRAhC6jf";"";"Porta";"CQA";"P00";"035";"0";"1"
"3q_7I27fz7uAWjDRAhC7J6";"";"Porta";"CQA";"P00";"036";"0";"1"
"3q_7I27fz7uAWjDRAhC7If";"";"Porta";"CQA";"P00";"037";"0";"1"
"3q_7I27fz7uAWjDRAhC7Hy";"";"Porta";"CQA";"P00";"038";"0";"1"
"3q_7I27fz7uAWjDRAhC6lo";"";"Porta";"CQA";"P00";"039";"0";"1"
"3q_7I27fz7uAWjDRAhC6jR";"";"Porta";"CQA";"P00";"040";"0";"1"
"2jK6F59IL1KQ6HCUUQJ8jQ";"";"Porta";"CQA";"P00";"046";"0";"1"
"3q_7I27fz7uAWjDRAhC6ro";"";"Porta";"CQA";"P00";"005";"0";"1"
"3q_7I27fz7uAWjDRAhC6xx";"";"Porta";"CQA";"P00";"005";"0";"1"
"2sEEv9W_vAy81gipu8hh4R";"";"Porta";"CQA";"P00";"006";"0";"1"
"3q_7I27fz7uAWjDRAhC6wF";"";"Porta";"CQA";"P00";"006";"0";"1"
"2okLOxHIPErgv53IHgR2ft";"";"Porta";"CQA";"P00";"008";"0";"1"
"3q_7I27fz7uAWjDRAhC6oR";"";"Porta";"CQA";"P00";"009";"0";"1"
"2okLOxHIPErgv53IHgR2fs";"";"Porta";"CQA";"P00";"010";"0";"1"
"3q_7I27fz7uAWjDRAhC2eQ";"";"Porta";"CQA";"P00";"012";"0";"1"
"3q_7I27fz7uAWjDRAhC6ny";"";"Porta";"CQA";"P00";"013";"0";"1"
"3q_7I27fz7uAWjDRAhC4l7";"";"Porta";"CQA";"P00";"014";"0";"1"
"3q_7I27fz7uAWjDRAhC6tk";"";"Porta";"CQA";"P00";"015";"0";"1"
"2sEEv9W_vAy81gipu8eJ0q";"";"Porta";"CQA";"P00";"016";"0";"1"
"3q_7I27fz7uAWjDRAhC6_G";"";"Porta";"CQA";"P00";"017";"0";"1"
"3q_7I27fz7uAWjDRAhC6$C";"";"Porta";"CQA";"P00";"017";"0";"1"
"3q_7I27fz7uAWjDRAhC6v8";"";"Porta";"CQA";"P00";"018";"0";"1"
"0nfXwQlzH0duwGu6O2hq1O";"";"Porta";"CQA";"P00";"019";"0";"1"
"0nfXwQlzH0duwGu6O2hqBl";"";"Porta";"CQA";"P00";"019";"0";"1"
"0nfXwQlzH0duwGu6O2hqKn";"";"Porta";"CQA";"P00";"020";"0";"1"
"0nfXwQlzH0duwGu6O2hqRm";"";"Porta";"CQA";"P00";"020";"0";"1"
"3q_7I27fz7uAWjDRAhC6_W";"";"Porta";"CQA";"P00";"020";"0";"1"
"3q_7I27fz7uAWjDRAhC6zf";"";"Porta";"CQA";"P00";"021";"0";"1"
"2sEEv9W_vAy81gipu8hj1h";"";"Porta";"CQA";"P00";"021";"0";"1"
"3q_7I27fz7uAWjDRAhC6Y6";"";"Porta";"CQA";"P00";"023";"0";"1"
"3q_7I27fz7uAWjDRAhC6XU";"";"Porta";"CQA";"P00";"023";"0";"1"
"3q_7I27fz7uAWjDRAhC6Zk";"";"Porta";"CQA";"P00";"023";"0";"1"
"3q_7I27fz7uAWjDRAhC6yo";"";"Porta";"CQA";"P00";"024";"0";"1"
"2sEEv9W_vAy81gipu8hgzn";"";"Porta";"CQA";"P00";"024";"0";"1"
"2sEEv9W_vAy81gipu8hh9A";"";"Porta";"CQA";"P00";"024";"0";"1"
"2sEEv9W_vAy81gipu8hhBP";"";"Porta";"CQA";"P00";"024";"0";"1"
"2sEEv9W_vAy81gipu8heMi";"";"Porta";"CQA";"P00";"024";"0";"1"
"3q_7I27fz7uAWjDRAhC6WR";"";"Porta";"CQA";"P00";"025";"0";"1"
"0nfXwQlzH0duwGu6O2hr8W";"";"Porta";"CQA";"P00";"025";"0";"1"
"3q_7I27fz7uAWjDRAhC6Wj";"";"Porta";"CQA";"P00";"025";"0";"1"
"3q_7I27fz7uAWjDRAhC6g9";"";"Porta";"CQA";"P00";"027";"0";"1"
"3q_7I27fz7uAWjDRAhC6fF";"";"Porta";"CQA";"P00";"028";"0";"1"
"3q_7I27fz7uAWjDRAhC6eR";"";"Porta";"CQA";"P00";"029";"0";"1"
"3q_7I27fz7uAWjDRAhC6xY";"";"Porta";"CQA";"P00";"005";"0";"1"
"3q_7I27fz7uAWjDRAhC6bA";"";"Porta";"CQA";"P00";"031";"0";"1"
"3q_7I27fz7uAWjDRAhC6bZ";"";"Porta";"CQA";"P00";"032";"0";"1"
"3q_7I27fz7uAWjDRAhC6dY";"";"Porta";"CQA";"P00";"033";"0";"1"
"2jK6F59IL1KQ6HCUUQJATN";"";"PortaTallafocs";"CQA";"P00";"005";"0";"1"
"2jK6F59IL1KQ6HCUUQJAUP";"";"PortaTallafocs";"CQA";"P00";"043";"0";"1"
"06B7s$i5P3hAciytk_0ITc";"";"PortaTallafocs";"CQA";"P00";"044";"0";"1"
"3a15SdQ6nFHxUg0ZbdvMZ1";"";"PortaTallafocs";"CQA";"P00";"024";"0";"1"
"3a15SdQ6nFHxUg0ZbdvMcp";"";"PortaTallafocs";"CQA";"P00";"019";"0";"1"
"3a15SdQ6nFHxUg0ZbdvMWP";"";"PortaTallafocs";"CQA";"P00";"021";"0";"1"
"3a15SdQ6nFHxUg0ZbdvMX7";"";"PortaTallafocs";"CQA";"P00";"020";"0";"1"
"06B7s$i5P3hAciytk_0ISr";"";"PortaTallafocs";"CQA";"P00";"047";"0";"1"
"3soXJEH$HArA0xKKnD6Emh";"";"Porta";"CQA";"P01";"001";"0";"1"
"2kC6_jVVPD4u3biKT2xfpn";"";"Porta";"UDI";"P00";"001";"0";"1"
"2kC6_jVVPD4u3biKT2xfm9";"";"Porta";"UDI";"P00";"001";"0";"1"
"2kC6_jVVPD4u3biKT2xfkE";"";"Porta";"UDI";"P00";"001";"0";"1"
"2kC6_jVVPD4u3biKT2xflr";"";"Porta";"UDI";"P00";"001";"0";"1"
"2kC6_jVVPD4u3biKT2xfoM";"";"Porta";"UDI";"P00";"001";"0";"1"
"2hLrug0VDEDOLgOtgdGPM2";"";"Porta";"UDI";"P00";"002";"0";"1"
"2kC6_jVVPD4u3biKT2xfi9";"";"Porta";"UDI";"P00";"002";"0";"1"
"0EIX1eco9B5A9cYVjo8qcp";"";"Porta";"UDI";"P00";"003";"0";"1"
"2hLrug0VDEDOLgOtgdGP8Z";"";"Porta";"UDI";"P00";"003";"0";"1"
