GUID,Departament,Dispositiu,Edifici,Planta,Zona,Space Dispositiu,Àrea Total,Elements
"0nfXwQlzH0duwGu6O2hqKn","","Porta","CQA","P00","020","Vestidor Prof. F","0","1"
"3q_7I27fz7uAWjDRAhC6oR","","Porta","CQA","P00","009","Office net Q3-Q4","0","1"
"3q_7I27fz7uAWjDRAhC6ro","","Porta","CQA","P00","005","Passadís brut","0","1"
"3q_7I27fz7uAWjDRAhC6tk","","Porta","CQA","P00","015","Mgtz. 1","0","1"
"3q_7I27fz7uAWjDRAhC6ny","","Porta","CQA","P00","013","Office net Q1-Q2","0","1"
"0nfXwQlzH0duwGu6O2hqRm","","Porta","CQA","P00","020","Vestidor Prof. F","0","1"
"0nfXwQlzH0duwGu6O2hq1O","","Porta","CQA","P00","019","Vestidor Prof. M","0","1"
"0nfXwQlzH0duwGu6O2hqBl","","Porta","CQA","P00","019","Vestidor Prof. M","0","1"
"2sEEv9W_vAy81gipu8heMi","","Porta","CQA","P00","024","Pas Gen.","0","1"
"2sEEv9W_vAy81gipu8hh4R","","Porta","CQA","P00","006","Office brut","0","1"
"2sEEv9W_vAy81gipu8hhBP","","Porta","CQA","P00","024","Pas Gen.","0","1"
"2sEEv9W_vAy81gipu8hh9A","","Porta","CQA","P00","024","Pas Gen.","0","1"
"2sEEv9W_vAy81gipu8hgzn","","Porta","CQA","P00","024","Pas Gen.","0","1"
"2sEEv9W_vAy81gipu8hj1h","","Porta","CQA","P00","021","Transfer","0","1"
"2sEEv9W_vAy81gipu8eJ0q","","Porta","CQA","P00","016","Pas zona neta quiròfans","0","1"
"0nfXwQlzH0duwGu6O2hr8W","","Porta","CQA","P00","025","Sala d'observació","0","1"
"3q_7I27fz7uAWjDRAhC6Zk","","Porta","CQA","P00","023","Vestidor i WC públic","0","1"
"2okLOxHIPErgv53IHgR2ft","","Porta","CQA","P00","008","Rentat 4","0","1"
"2okLOxHIPErgv53IHgR2fs","","Porta","CQA","P00","010","Rentat 3","0","1"
"3q_7I27fz7uAWjDRAhC2eQ","","Porta","CQA","P00","012","Rentat 2","0","1"
"3q_7I27fz7uAWjDRAhC4l7","","Porta","CQA","P00","014","Rentat 1","0","1"
"3q_7I27fz7uAWjDRAhC7Hy","","Porta","CQA","P00","038","Infor./admisions","0","1"
"3q_7I27fz7uAWjDRAhC7If","","Porta","CQA","P00","037","Box 1","0","1"
"3q_7I27fz7uAWjDRAhC7J6","","Porta","CQA","P00","036","Box 2","0","1"
"3q_7I27fz7uAWjDRAhC6jf","","Porta","CQA","P00","035","Box 3","0","1"
"3q_7I27fz7uAWjDRAhC6jR","","Porta","CQA","P00","040","WC F","0","1"
"3q_7I27fz7uAWjDRAhC6lo","","Porta","CQA","P00","039","WC H","0","1"
